bin,bank,type,length,name
103,ABC,DC,19,中国农业银行
18572,KMRCU,DC,18,昆明农村信用联合社
303,CEB,DC,16,中国光大银行
356390,CITIC,CC,16,中信银行
356391,CITIC,CC,16,中信银行
356392,CITIC,CC,16,中信银行
356827,SHBANK,CC,16,上海银行
356828,SHBANK,CC,16,上海银行
356829,SHBANK,CC,16,上海银行
356830,SHBANK,CC,16,上海银行
356837,CEB,CC,16,中国光大银行
356838,CEB,CC,16,中国光大银行
356839,CEB,CC,16,中国光大银行
356840,CEB,CC,16,中国光大银行
356841,CEB,CC,16,中国光大银行
356850,SPDB,CC,16,上海浦东发展银行
356851,SPDB,CC,16,上海浦东发展银行
356852,SPDB,CC,16,上海浦东发展银行
356856,CMBC,CC,16,中国民生银行
356857,CMBC,CC,16,中国民生银行
356858,CMBC,CC,16,中国民生银行
356859,CMBC,CC,16,中国民生银行
356868,SPABANK,CC,16,平安银行
356869,SPABANK,CC,16,平安银行
356889,CMB,CC,16,招商银行
370247,ICBC,CC,15,中国工商银行
376966,CITIC,CC,15,中信银行
376968,CITIC,CC,15,中信银行
376969,CITIC,CC,15,中信银行
400360,CITIC,CC,16,中信银行
402673,SHBANK,CC,16,上海银行
402674,SHBANK,CC,16,上海银行
403361,ABC,CC,16,中国农业银行
403391,CITIC,CC,16,中信银行
403392,CITIC,CC,16,中信银行
403393,CITIC,CC,16,中信银行
404117,ABC,CC,16,中国农业银行
404118,ABC,CC,16,中国农业银行
404119,ABC,CC,16,中国农业银行
404120,ABC,CC,16,中国农业银行
404121,ABC,CC,16,中国农业银行
404157,CITIC,CC,16,中信银行
404158,CITIC,CC,16,中信银行
404159,CITIC,CC,16,中信银行
404171,CITIC,CC,16,中信银行
404172,CITIC,CC,16,中信银行
404173,CITIC,CC,16,中信银行
404174,CITIC,CC,16,中信银行
404738,SPDB,CC,16,上海浦东发展银行
404739,SPDB,CC,16,上海浦东发展银行
405512,COMM,DC,17,交通银行
406252,CEB,CC,16,中国光大银行
406254,CEB,CC,16,中国光大银行
406365,GDB,CC,16,广东发展银行
406366,GDB,CC,16,广东发展银行
407405,CMBC,CC,16,中国民生银行
409666,BOC,CC,16,中国银行
410062,CMB,DC,16,招商银行
412962,SPABANK,DC,16,平安银行
412963,SPABANK,DC,16,平安银行
415599,CMBC,DC,16,中国民生银行
415752,SPABANK,DC,16,平安银行
415753,SPABANK,DC,16,平安银行
421317,BJBANK,DC,16,北京银行
421349,CCB,DC,16,中国建设银行
421393,CMBC,DC,16,中国民生银行
421865,CMBC,DC,16,中国民生银行
421869,CMBC,CC,16,中国民生银行
421870,CMBC,CC,16,中国民生银行
